company_name,company_ticker,entity_name,company_cik,2022,2021,2020
BRINKS CO,BCO,BRINKS CO (BCO),0000078890,https://www.sec.gov/Archives/edgar/data/78890/000007889022000077/bco-20211231.htm,https://www.sec.gov/Archives/edgar/data/78890/000007889021000014/bco-20201231.htm,https://www.sec.gov/Archives/edgar/data/78890/000007889020000010/bco1231201910-k.htm
BRISTOL MYERS SQUIBB,BMY,"BRISTOL MYERS SQUIBB CO (BMY, CELG-RI)",0000014272,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/bmy-20211231.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/bmy-20201231.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/bmy-20191231x10xk.htm
BRISTOW GROUP INC,VTOL,Bristow Group Inc. (VTOL),0001525221,https://www.sec.gov/Archives/edgar/data/1525221/000152522122000011/vtol-20220331.htm,https://www.sec.gov/Archives/edgar/data/1525221/000152522121000021/vtol-20210331.htm,https://www.sec.gov/Archives/edgar/data/1525221/000152522120000006/a201910-k.htm
BRIXMOR PROPERTY GROUP,BRX,Brixmor Property Group Inc. (BRX),0001581068,https://www.sec.gov/Archives/edgar/data/1630031/000158106822000012/brx-20211231.htm,https://www.sec.gov/Archives/edgar/data/1630031/000158106821000012/brx-20201231.htm,https://www.sec.gov/Archives/edgar/data/1630031/000158106820000008/brx10k12312019.htm
BROADCOM,AVGO,Broadcom Inc. (AVGO),0001730168,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/avgo-20221030.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/avgo-20211031.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/avgo-20201101.htm
BROADMARK REALTY CAPITAL INC (A),BRMK,"Broadmark Realty Capital Inc. (BRMK, BRMKW)",0001784797,https://www.sec.gov/Archives/edgar/data/1784797/000095017022002327/brmk-20211231.htm,https://www.sec.gov/Archives/edgar/data/1784797/000155837021002180/brmk-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1784797/000110465920034181/tm2012066d1_10k.htm
BROADRIDGE FINANCIAL SOLUTIONS,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC. (BR)",0001383312,https://www.sec.gov/Archives/edgar/data/1383312/000138331222000037/br-20220630.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331221000047/br-20210630.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331220000055/br-20200630.htm
BROADSTONE NET LEASE,BNL,"Broadstone Net Lease, Inc. (BNL)",0001424182,https://www.sec.gov/Archives/edgar/data/1424182/000119312522049969/d248996d10k.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459021008838/ck142418210k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1424182/000156459020007050/ck142418210k_20191231.htm
BROOKDALE SENIOR LIVING,BKD,"Brookdale Senior Living Inc. (BKD, BKDT)",0001332349,https://www.sec.gov/Archives/edgar/data/1332349/000133234922000043/bkd-20211231.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234921000045/bkd-20201231.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234920000045/bkd10k12312019.htm
BROOKFIELD BUSINESS CORPORATION,BBUC,Brookfield Business Corp (BBUC),0001871130,,,
BROOKFIELD INFRASTRUCTURE,BIPC,"Brookfield Infrastructure Corp (BIPH, BIPC)",0001788348,,,
BROOKFIELD RENEWABLE CORPORATION,BEPC,Brookfield Renewable Corp (BEPC),0001791863,,,
BROOKLINE BANCORP INC,BRKL,BROOKLINE BANCORP INC (BRKL),0001049782,https://www.sec.gov/Archives/edgar/data/1049782/000104978222000011/brkl-20211231.htm,https://www.sec.gov/Archives/edgar/data/1049782/000104978221000014/brkl-20201231.htm,https://www.sec.gov/Archives/edgar/data/1049782/000104978220000008/brkl-20191231x10k.htm
BROWN & BROWN,BRO,"BROWN & BROWN, INC. (BRO)",0000079282,https://www.sec.gov/Archives/edgar/data/79282/000095017022001654/bro-20211231.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459021007624/bro-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459020006075/bro-10k_20191231.htm
BROWN-FORMAN B,BF.B,,,,,
BROWN-FORMAN CLASS A,BF.A,,,,,
BRP GROUP,BRP,"BRP Group, Inc. (BRP)",0001781755,https://www.sec.gov/Archives/edgar/data/1781755/000178175522000008/brp-20211231.htm,https://www.sec.gov/Archives/edgar/data/1781755/000178175521000015/brp-20201231.htm,https://www.sec.gov/Archives/edgar/data/1781755/000178175520000022/brpfy201910-k.htm
BRT APARTMENTS,BRT,BRT Apartments Corp. (BRT),0000014846,https://www.sec.gov/Archives/edgar/data/14846/000001484622000010/brt-20211231.htm,https://www.sec.gov/Archives/edgar/data/14846/000001484621000008/brt-20201231.htm,https://www.sec.gov/Archives/edgar/data/14846/000121390020012694/f10k2019a1_brtapartments.htm
BRUKER,BRKR,BRUKER CORP (BRKR),0001109354,https://www.sec.gov/Archives/edgar/data/1109354/000119312522056531/d108764d10k.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465921029938/brkr-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465920039645/brkr-20191231x10k06be43.htm
BRUNSWICK CORP,BC,"BRUNSWICK CORP (BC, BC-PC, BC-PB, BC-PA)",0000014930,https://www.sec.gov/Archives/edgar/data/14930/000001493022000041/bcorp-20211231.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493021000029/bcorp-20201231.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493020000027/bc2019123110k.htm
BTRS HOLDINGS INC (A),BTRS,,,,,
BUCKLE INC,BKE,BUCKLE INC (BKE),0000885245,https://www.sec.gov/Archives/edgar/data/885245/000088524522000009/bke-20220129.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524521000008/bke-20210130.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524520000011/bke2020020110k.htm
BUILD-A-BEAR WORKSHOP,BBW,BUILD-A-BEAR WORKSHOP INC (BBW),0001113809,https://www.sec.gov/Archives/edgar/data/1113809/000143774922008972/bbw20220129_10k.htm,https://www.sec.gov/Archives/edgar/data/1113809/000143774921009026/bbw20210201_10k.htm,https://www.sec.gov/Archives/edgar/data/1113809/000143774920007818/bbw20200201_10k.htm
BUILDERS FIRSTSOURCE INC.,BLDR,"Builders FirstSource, Inc. (BLDR)",0001316835,https://www.sec.gov/Archives/edgar/data/1316835/000156459022007980/bldr-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459021009308/bldr-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459020005717/bldr-10k_20191231.htm
BUMBLE,BMBL,Bumble Inc. (BMBL),0001830043,https://www.sec.gov/Archives/edgar/data/1830043/000095017022003960/bmbl-20211231.htm,https://www.sec.gov/Archives/edgar/data/1830043/000156459021013176/bmbl-10k_20201231.htm,
BUNGE,BG,BUNGELTD (BG),0001144519,https://www.sec.gov/Archives/edgar/data/1144519/000114451922000017/bg-20211231.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451921000006/bg-20201231.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451920000004/bg-12312019x10k.htm
BURLINGTON STORES,BURL,"Burlington Stores, Inc. (BURL)",0001579298,https://www.sec.gov/Archives/edgar/data/1579298/000095017022003963/burl-20220129.htm,https://www.sec.gov/Archives/edgar/data/1579298/000156459021013162/burl-10k_20210130.htm,https://www.sec.gov/Archives/edgar/data/1579298/000156459020010835/burl-10k_20200201.htm
BUSINESS FIRST BANCSHARES,BFST,"Business First Bancshares, Inc. (BFST)",0001624322,https://www.sec.gov/Archives/edgar/data/1624322/000143774922004801/bfbi20211231_10k.htm,https://www.sec.gov/Archives/edgar/data/1624322/000143774921005177/bfbi20201231_10k.htm,https://www.sec.gov/Archives/edgar/data/1624322/000143774920004875/bfbi20191231_10k.htm
BUTTERFLY NETWORK INC (A),BFLY,"Butterfly Network, Inc. (BFLY, BFLY-WT)",0001804176,https://www.sec.gov/Archives/edgar/data/1804176/000155837022002397/tmb-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1804176/000110465921043278/tm214074d1_10k.htm,
BWX TECHNOLOGIES,BWXT,"BWX Technologies, Inc. (BWXT)",0001486957,https://www.sec.gov/Archives/edgar/data/1486957/000148695722000005/bwxt-20211231.htm,https://www.sec.gov/Archives/edgar/data/1486957/000148695721000006/bwxt-20201231.htm,https://www.sec.gov/Archives/edgar/data/1486957/000148695720000006/bwxt12311910kdocument.htm
BYLINE BANCORP,BY,"BYLINE BANCORP, INC. (BY)",0001702750,https://www.sec.gov/Archives/edgar/data/1702750/000095017022003015/by-20211231.htm,https://www.sec.gov/Archives/edgar/data/1702750/000156459021010980/by-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1702750/000156459020010516/by-10k_20191231.htm
C.H. ROBINSON WORLDWIDE,CHRW,"C. H. ROBINSON WORLDWIDE, INC. (CHRW)",0001043277,https://www.sec.gov/Archives/edgar/data/1043277/000104327722000006/chrw-20211231.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327721000009/chrw-20201231.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327720000016/chrw-20191231.htm
C3 AI,AI,"C3.ai, Inc. (AI)",0001577526,https://www.sec.gov/Archives/edgar/data/1577526/000162828022017829/ai-20220430.htm,https://www.sec.gov/Archives/edgar/data/1577526/000162828021012990/ai-20210430.htm,
C4 THERAPEUTICS,CCCC,"C4 Therapeutics, Inc. (CCCC)",0001662579,https://www.sec.gov/Archives/edgar/data/1662579/000156459022006499/cccc-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1662579/000156459021012531/cccc-10k_20201231.htm,
CABLE ONE,CABO,"Cable One, Inc. (CABO)",0001632127,https://www.sec.gov/Archives/edgar/data/1632127/000143774922004364/cabo20211231_10k.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774921004160/cabo20201231_10k.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774920003799/cabo20191231_10k.htm
CABOT CORP,CBT,CABOT CORP (CBT),0000016040,https://www.sec.gov/Archives/edgar/data/16040/000156459022038228/cbt-10k_20220930.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459021058692/cbt-10k_20210930.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459020055198/cbt-10k_20200930.htm
